,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
56,0.9709968,26997.0,0.395,87018.0,2.94,0.9925822,0.9548355,0.6666176117,9.4853693722,94.7,8.20737135615,5.2,4.8,70.2500584,0.0,19.9625886302,18.9280290403,6.0348310644,69.8,Benicia,Solano,44131.0,5290,Benicia city,1.156,205.0
57,0.9255695,6234.0,0.422,91250.0,2.95,0.3365173,0.2687793,0.0,7.4566111755,98.3,11.2379096267,9.2,10.4,69.068788,0.0,62.2746640446,12.5761950594,7.2,70.0,Ben Lomond,Santa Cruz,30417.0,5332,Ben Lomond CDP,,292.0
58,0.9721265,112580.0,0.519,58617.0,2.92,1.0204465,1.30882,0.0,8.8587270591,94.1,12.9445719268,18.9,6.7,62.0306349,0.0,26.6339570269,72.8521939954,41.6258958703,43.5,Berkeley,Alameda,16992.0,6000,Berkeley city,1.582,429.0
60,0.6643994,34109.0,0.582,83463.0,2.64,3.0776767,2.932711,2.0243531036,14.158964601,94.7,12.5024793388,7.9,7.0,52.2533041,99.8739335659,31.0571745003,73.6726377202,9.1776347286,56.8,Beverly Hills,Los Angeles,10389.0,6308,Beverly Hills city,2.942,701.0
61,0.8203023,12304.0,0.388,40765.0,3.24,0.0622142,0.1476458,62.226484945,7.848745796,81.4,35.1703318386,17.6,6.7,66.2364563,0.0,46.9129597051,16.7100130039,3.3,63.1,Big Bear City,San Bernardino,30459.0,6406,Big Bear City CDP,0.92,145.0
62,0.7551305,5019.0,0.589,32299.0,3.16,0.4074036,1.2236102,66.0,7.39647,80.4,48.4770909091,21.1,9.3,70.300158,0.0,77.151564248,55.1305040845,5.2,58.8,Big Bear Lake,San Bernardino,44161.0,6434,Big Bear Lake city,1.002,191.0
63,0.9185706,1707.0,0.358,52125.0,3.75,0.3973988,0.8513932,3.333333,9.803249,75.7,15.9270588235,13.6,16.6,56.1983471,0.0,23.4055002926,41.8277680141,4.0,80.2,Biggs,Butte,51000.0,6560,Biggs city,0.936,92.0
64,1.0,1756.0,0.332,57109.0,3.5,0.3064904,0.4257095,0.0,9.4233017203,89.9,1.06382978723,7.4,2.9,73.3879222,0.0,35.6718192628,24.430523918,2.0,66.8,Big Pine,Inyo,44163.0,6616,Big Pine CDP,1.044,141.0
65,1.0,3879.0,0.448,37005.0,2.6,1.8794708,2.3039039,0.0,7.55021171962,84.7,27.5941955836,13.0,6.8,73.4597156,100.0,47.2168301768,60.2990461459,18.1495162208,44.4,Bishop,Inyo,23717.0,6798,Bishop city,1.166,187.0
68,0.00805,23851.0,0.396,44464.0,4.4,0.3864173,0.2997386,54.025589121,15.925283806,58.5,44.8082523786,22.7,12.9,42.9405898,0.0,22.4161396205,11.7647058824,4.15612771576,86.2,Bloomington,San Bernardino,28136.0,7064,Bloomington CDP,1.072,111.0
69,0.6981313,20817.0,0.449,41856.0,3.49,1.2182783,1.0631061,0.0,11.2458409093,69.3,25.010013986,16.8,9.0,58.4982788,99.2219360378,11.4068441065,14.4209059903,5.0564608404,74.5,Blythe,Riverside,3719.0,7218,Blythe city,1.39,97.0
71,1.0,1620.0,0.442,52390.0,2.23,0.3618158,0.5634096,0.0,7.285553,99.0,30.9370114943,16.7,3.8,78.2901057,100.0,86.0585197935,3.76543209877,11.043219076,61.2,Bolinas,Marin,41918.0,7316,Bolinas CDP,,756.0
72,0.9905089,12538.0,0.411,76150.0,3.79,0.290693,0.3024523,0.666667,12.158996413,90.4,6.06176783813,6.4,8.5,69.2536506,0.0,12.7977248489,4.72962194927,2.2,76.7,Bonita,San Diego,30526.0,7414,Bonita CDP,1.098,187.0
