,placefp,geoname,p_parkacc,pop2010,gini_index,median_hh_income,athome,bicycle,car,carpool,cartotal,publictr,walk,median_income,food_afford,ave_fam_size,hfood_acc,job_house_low,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,livewage_m,poverty_child,poverty_conc,poverty_all,unemp_rate,day_care,inf_care,violent_crime,child_abuse,voted,bad_water,p_trans_acc,traf_fatal,traf_sev,alc_off,alc_on,alc_tot,hh_f,hh_f_child,hh_m,hh_m_child,hh_married,hh_married_child,hh_nonfam,hh_nonfam_solo,placename,county,regionid,zri_sqft,hval_sqft
37,03204,Auburn city,0.7214554,13330.0,0.455,60756.0,9.2,1.3437849944,74.6,9.4,83.9385698288,1.2,2.4,31354.0,0.1909807,2.62,17.5590877,1.900258,1.548566,1.3048064,19.666667,7.808814,93.0,12.6330364372,73.7373737374,5.9,0.0,8.9,5.9,267.045454545,,4.42610652663,,72.9607251,0.0,0.0929482370593,7.60803408399,28.9105295192,26.9242310578,28.8522130533,32.3255813953,11.8,8.3,2.3,1.9,46.8,16.6,39.1,30.5,Auburn,Placer,50800.0,0.936,163.0
38,03209,August CDP,0.7755662,8390.0,0.429,30469.0,0.0,0.564971751412,73.6,23.8,97.4172719935,0.8,0.9,20852.0,0.4069944,3.65,7.6923077,0.5060241,0.491954,0.7772397,3.333333,12.505155,46.4,68.8917482517,100.0,48.9,50.6400612,38.8,20.0,,,,,37.9844961,0.0,,7.20115218435,28.8046087374,86.7818831943,54.684147795,91.9308700834,20.1,7.7,8.3,4.5,42.3,30.3,29.2,21.7,August,San Joaquin,113561.0,0.886,
39,03274,Avalon city,0.0217275,3728.0,0.414,47634.0,7.0,4.25737784228,10.7,4.9,15.5781325593,4.3,46.8,40786.0,0.1408309,2.41,20.0,1.2401434,0.4421832,0.4688573,,,75.7,46.5348860759,81.6666666667,13.4,0.0,11.5,4.8,,,6.43776824034,,60.0630915,,0.0,5.47375335267,27.3687667634,62.580472103,97.4248927039,97.4248927039,10.7,9.1,3.3,3.3,54.5,30.0,31.4,26.8,Avalon,Los Angeles,3491.0,1.99,483.0
40,03302,Avenal city,0.3115124,15505.0,0.41,33350.0,2.5,0.0,46.2,48.2,94.3824623214,0.0,2.4,9559.0,0.8890226,4.18,,0.1666667,0.7524634,0.5006954,11.667870912,14.101032,41.2,57.298123697,100.0,55.1,,37.7,14.6,338.650306748,31.5315315315,3.67623347307,5.9311616472,40.7722513,100.0,,5.03803718071,18.8926394277,23.2570138665,14.8855207997,23.2570138665,18.9,9.6,8.8,2.6,57.5,41.5,14.8,11.8,Avenal,Kings,3493.0,0.93,103.0
41,03330,Avilla Beach CDP,0.5550092,1627.0,0.539,70513.0,9.0,0.0,79.6,11.4,90.9980430528,0.0,0.0,,,2.0,,1.4767442,0.3525872,0.2415499,0.0,7.0960320947,95.1,,,14.4,,3.7,0.0,,,,,75.2006421,0.0,,,137.120470127,2.51997541487,35.4640442532,35.4640442532,4.2,2.4,3.5,3.5,48.7,8.1,43.6,31.3,Avila Beach,San Luis Obispo,30306.0,,329.0
42,03344,Avocado Heights CDP,0.6786062,15411.0,0.384,68767.0,4.0,0.216700375614,76.5,11.6,88.1248194164,2.2,1.6,31250.0,0.2709567,3.54,8.5142927,9.722488,1.9358302,1.2267405,8.9021474832,14.791313278,67.7,26.9009506726,81.8283443709,20.8,0.0,13.3,10.4,,,,,48.2789056,0.0,0.0,15.5108899373,40.0697990047,35.0983064045,15.1320485368,39.627538771,16.3,7.7,7.4,2.1,61.4,28.6,14.8,11.5,Avocado Heights,Los Angeles,113576.0,1.368,237.0
43,03386,Azusa city,0.841591,46361.0,0.398,51894.0,1.6,0.741696227024,71.8,15.0,86.7646381352,4.2,5.0,28006.0,0.3167186,3.76,7.7518152,6.9897959,1.3750381,1.0108805,34.33185906,11.236348292,74.7,35.2777488654,83.9793385827,25.5,0.0,17.4,8.5,127.175843694,,4.87478699769,5.25487453003,47.6769121,0.0,0.0416513880201,7.35392721342,28.5505409462,68.5533098941,52.0998252842,73.4626086581,17.2,10.0,7.5,2.8,47.9,26.1,27.4,20.3,Azusa,Los Angeles,37015.0,1.422,219.0
44,03526,Bakersfield city,0.6020669,347483.0,0.438,53997.0,2.9,0.3482079489,78.9,14.4,93.2665010646,1.1,1.2,23402.0,0.3303614,3.5,9.1726521,1.5161968,1.0480981,0.972018,39.855733971,19.312422023,78.1,21.2994373129,78.9852449311,24.0,28.8541544,17.3,10.2,215.103894538,15.8679784195,6.05497247347,7.27942870306,55.5739129,8.06485813112,,9.40341296278,19.4019786447,35.3453262462,26.2827246225,40.8241554263,16.7,11.1,6.0,3.8,51.7,28.5,25.6,20.1,Bakersfield,Kern,3506.0,0.8,87.0
45,03666,Baldwin Park city,0.579228,75390.0,0.398,50346.0,3.6,1.03194751245,73.3,14.4,87.6561933336,4.8,1.7,26500.0,0.3612322,4.07,9.7986725,4.2577904,1.0806514,0.6943446,14.999195296,14.131310698,56.7,42.6294344974,75.4653875969,23.7,0.0,15.9,10.2,233.741948888,21.3736107153,3.35588274307,4.8955029682,41.0908138,0.0,0.20766679931,5.26989781668,14.228724105,56.9850112747,35.1120838307,60.3660962992,23.0,11.7,8.5,2.9,56.8,32.1,11.6,9.0,Baldwin Park,Los Angeles,10241.0,1.41,211.0
46,03820,Banning city,0.5923724,29603.0,0.405,38979.0,6.4,0.681094144787,75.0,13.4,88.432384928,0.9,1.6,18607.0,0.397103,3.23,18.9956717,1.1870582,0.3867503,0.424715,65.0,7.490896,81.1,46.4234350148,86.1211650485,24.2,0.0,14.6,9.5,172.661870504,38.5321100917,5.23595581529,10.2921744237,64.3021472,0.0,0.0,15.8519018836,34.4606562687,18.2751748134,12.5494037766,21.2613586461,11.1,6.1,3.4,1.8,48.0,14.2,37.5,31.4,Banning,Riverside,50849.0,0.916,91.0
47,04030,Barstow city,0.7394761,22639.0,0.411,45166.0,1.6,0.750449212557,66.7,21.0,87.7180002114,4.3,5.4,16752.0,0.4598829,3.4,9.5957788,1.0451411,0.8204489,0.935616,11.0,,78.9,30.0308627727,92.2386749482,31.0,29.5105972,21.4,8.7,188.833124216,18.7353629977,8.39259684615,10.7257448434,51.0929648,100.0,0.0,21.3087099352,67.4775814614,49.2954635805,33.5836388533,55.1128583418,19.3,12.0,5.0,2.6,42.5,17.6,33.2,27.3,Barstow,San Bernardino,7304.0,0.76,63.0
48,04198,Bass Lake CDP,1.0,527.0,0.459,,,,,,,,,,,,,,0.1433486,0.3255208,16.0,6.225898,,,,,,,,,,,,80.7291667,,,,129.589632829,20.3036053131,21.2523719165,35.4838709677,,,,,,,,,Bass Lake,Madera,44048.0,1.242,179.0
